ESTRUTURA;REDE;POSTE;NIVEL;ALTURA;DAS;CABO;CODMAT;NOMEMAT;QTD;CODKIT
B1;BIFASICA;CONCRETO;2;12;300;NÚ;230367;CRUZETA,POLIM,2000MM,RETAN,D315.01;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;300;NÚ;251838;SELA P/ CRUZETA,AZ,116MM,58MM,D470.08;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;300;NÚ;780710;ARRUELA,QUADRADA,AZ, 50X3X18MM,D41003;2;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;300;NÚ;240120;MÃO,FRANCESA,AZ,PERFILADA,1534MM,D43001;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;300;NÚ;780753;PARAFUSO,CAB ABAUL,AZ,16X 45,D41015;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;300;NÚ;780755;PARAFUSO,CAB ABAUL,AZ,16X150,D41015;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;300;NÚ;780758;PARAFUSO,CAB QUAD,AZ,16X125,D41010;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;300;NÚ;330767;FIO, AL P/ AMARRACAO 4AWG-D76001;0,1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;300;NÚ;300662;ISOLADOR POLIM PILAR HIBR,24kV,GSCC010;2;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;251834;CINTA,P/POSTE CIRC,190MM,D435.07;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;251835;CINTA,P/POSTE CIRC,210MM,D435.07;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;230367;CRUZETA,POLIM,2000MM,RETAN,D315.01;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;251838;SELA P/ CRUZETA,AZ,116MM,58MM,D470.08;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;780710;ARRUELA,QUADRADA,AZ, 50X3X18MM,D41003;2;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;240120;MÃO,FRANCESA,AZ,PERFILADA,1534MM,D43001;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;780753;PARAFUSO,CAB ABAUL,AZ,16X 45,D41015;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;780755;PARAFUSO,CAB ABAUL,AZ,16X150,D41015;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;780758;PARAFUSO,CAB QUAD,AZ,16X125,D41010;1;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;330767;FIO, AL P/ AMARRACAO 4AWG-D76001;0,15;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;300;NÚ;300662;ISOLADOR POLIM PILAR HIBR,24kV,GSCC010;3;B1, CONCRETO, 12 x 300, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;251834;CINTA,P/POSTE CIRC,190MM,D435.07;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;251835;CINTA,P/POSTE CIRC,210MM,D435.07;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;230367;CRUZETA,POLIM,2000MM,RETAN,D315.01;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;251838;SELA P/ CRUZETA,AZ,116MM,58MM,D470.08;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;780710;ARRUELA,QUADRADA,AZ, 50X3X18MM,D41003;2;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;240120;MÃO,FRANCESA,AZ,PERFILADA,1534MM,D43001;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;780753;PARAFUSO,CAB ABAUL,AZ,16X 45,D41015;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;780755;PARAFUSO,CAB ABAUL,AZ,16X150,D41015;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;780758;PARAFUSO,CAB QUAD,AZ,16X125,D41010;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;330767;FIO, AL P/ AMARRACAO 4AWG-D76001;0,1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;1;12;600;NÚ;300662;ISOLADOR POLIM PILAR HIBR,24kV,GSCC010;2;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;251834;CINTA,P/POSTE CIRC,190MM,D435.07;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;251835;CINTA,P/POSTE CIRC,210MM,D435.07;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;230367;CRUZETA,POLIM,2000MM,RETAN,D315.01;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;251838;SELA P/ CRUZETA,AZ,116MM,58MM,D470.08;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;780710;ARRUELA,QUADRADA,AZ, 50X3X18MM,D41003;2;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;240120;MÃO,FRANCESA,AZ,PERFILADA,1534MM,D43001;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;780753;PARAFUSO,CAB ABAUL,AZ,16X 45,D41015;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;780755;PARAFUSO,CAB ABAUL,AZ,16X150,D41015;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;780758;PARAFUSO,CAB QUAD,AZ,16X125,D41010;1;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;330767;FIO, AL P/ AMARRACAO 4AWG-D76001;0,15;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;1;12;600;NÚ;300662;ISOLADOR POLIM PILAR HIBR,24kV,GSCC010;3;B1, CONCRETO, 12 x 600, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;251835;CINTA,P/POSTE CIRC,210MM,D435.07;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;780742;CINTA,P/POSTE CIRC,230MM,D435.07;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;230367;CRUZETA,POLIM,2000MM,RETAN,D315.01;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;251838;SELA P/ CRUZETA,AZ,116MM,58MM,D470.08;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;780710;ARRUELA,QUADRADA,AZ, 50X3X18MM,D41003;2;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;240120;MÃO,FRANCESA,AZ,PERFILADA,1534MM,D43001;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;780753;PARAFUSO,CAB ABAUL,AZ,16X 45,D41015;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;780755;PARAFUSO,CAB ABAUL,AZ,16X150,D41015;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;780758;PARAFUSO,CAB QUAD,AZ,16X125,D41010;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;330767;FIO, AL P/ AMARRACAO 4AWG-D76001;0,1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;CONCRETO;2;12;600;NÚ;300662;ISOLADOR POLIM PILAR HIBR,24kV,GSCC010;2;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;251835;CINTA,P/POSTE CIRC,210MM,D435.07;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;780742;CINTA,P/POSTE CIRC,230MM,D435.07;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;230367;CRUZETA,POLIM,2000MM,RETAN,D315.01;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;251838;SELA P/ CRUZETA,AZ,116MM,58MM,D470.08;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;780710;ARRUELA,QUADRADA,AZ, 50X3X18MM,D41003;2;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;240120;MÃO,FRANCESA,AZ,PERFILADA,1534MM,D43001;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;780753;PARAFUSO,CAB ABAUL,AZ,16X 45,D41015;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;780755;PARAFUSO,CAB ABAUL,AZ,16X150,D41015;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;780758;PARAFUSO,CAB QUAD,AZ,16X125,D41010;1;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;330767;FIO, AL P/ AMARRACAO 4AWG-D76001;0,15;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;CONCRETO;2;12;600;NÚ;300662;ISOLADOR POLIM PILAR HIBR,24kV,GSCC010;3;B1, CONCRETO, 12 x 600, NÍVEL: 2, REDE, TRIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;251833;CINTA,P/POSTE CIRC,170MM,D435.07;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;251834;CINTA,P/POSTE CIRC,190MM,D435.07;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;230367;CRUZETA,POLIM,2000MM,RETAN,D315.01;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;251838;SELA P/ CRUZETA,AZ,116MM,58MM,D470.08;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;780710;ARRUELA,QUADRADA,AZ, 50X3X18MM,D41003;2;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;240120;MÃO,FRANCESA,AZ,PERFILADA,1534MM,D43001;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;780753;PARAFUSO,CAB ABAUL,AZ,16X 45,D41015;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;780755;PARAFUSO,CAB ABAUL,AZ,16X150,D41015;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;780758;PARAFUSO,CAB QUAD,AZ,16X125,D41010;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;330767;FIO, AL P/ AMARRACAO 4AWG-D76001;0,1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;300662;ISOLADOR POLIM PILAR HIBR,24kV,GSCC010;2;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, BIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;251833;CINTA,P/POSTE CIRC,170MM,D435.07;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;251834;CINTA,P/POSTE CIRC,190MM,D435.07;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;230367;CRUZETA,POLIM,2000MM,RETAN,D315.01;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;251838;SELA P/ CRUZETA,AZ,116MM,58MM,D470.08;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;780710;ARRUELA,QUADRADA,AZ, 50X3X18MM,D41003;2;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;240120;MÃO,FRANCESA,AZ,PERFILADA,1534MM,D43001;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;780753;PARAFUSO,CAB ABAUL,AZ,16X 45,D41015;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;780755;PARAFUSO,CAB ABAUL,AZ,16X150,D41015;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;780758;PARAFUSO,CAB QUAD,AZ,16X125,D41010;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;330767;FIO, AL P/ AMARRACAO 4AWG-D76001;0,15;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;TRIFASICA;FIBRA CIRCULAR;1;12;300;NÚ;300662;ISOLADOR POLIM PILAR HIBR,24kV,GSCC010;3;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 1, REDE, TRIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;2;12;300;NÚ;251834;CINTA,P/POSTE CIRC,190MM,D435.07;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;2;12;300;NÚ;251835;CINTA,P/POSTE CIRC,210MM,D435.07;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;2;12;300;NÚ;230367;CRUZETA,POLIM,2000MM,RETAN,D315.01;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;2;12;300;NÚ;251838;SELA P/ CRUZETA,AZ,116MM,58MM,D470.08;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;2;12;300;NÚ;780710;ARRUELA,QUADRADA,AZ, 50X3X18MM,D41003;2;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;2;12;300;NÚ;240120;MÃO,FRANCESA,AZ,PERFILADA,1534MM,D43001;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;2;12;300;NÚ;780753;PARAFUSO,CAB ABAUL,AZ,16X 45,D41015;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;2;12;300;NÚ;780755;PARAFUSO,CAB ABAUL,AZ,16X150,D41015;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;2;12;300;NÚ;780758;PARAFUSO,CAB QUAD,AZ,16X125,D41010;1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
B1;BIFASICA;FIBRA CIRCULAR;2;12;300;NÚ;330767;FIO, AL P/ AMARRACAO 4AWG-D76001;0,1;B1, FIBRA CIRCULAR, 12 x 300, NÍVEL: 2, REDE, BIFÁSICA, CABO, NÚ
